ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBDF0812744,0.00,DF081274,PLSA 0% 29.10.2010 SN,PLSA,IBONDS,31/10/2008,29/10/2010,N/A,N/A
MYBDF0813064,0.00,DF081306,PLSA 0% 30.04.2010 SN,PLSA,IBONDS,31/10/2008,30/04/2010,N/A,N/A
MYBDF0813072,0.00,DF081307,PLSA 0% 29.10.2010 SN,PLSA,IBONDS,31/10/2008,29/10/2010,N/A,N/A
MYBDF0900077,0.00,DF090007,OWC 0% 20.08.2010 SN,OWC,IBONDS,20/02/2009,20/08/2010,N/A,N/A
MYBDF0900085,0.00,DF090008,OWC 0% 21.02.2011 SN,OWC,IBONDS,20/02/2009,21/02/2011,N/A,N/A
MYBDF0900150,0.00,DF090015,OWC 0% 20.08.2010 SN,OWC,IBONDS,20/02/2009,20/08/2010,N/A,N/A
MYBDF0900168,0.00,DF090016,OWC 0% 21.02.2011 SN,OWC,IBONDS,20/02/2009,21/02/2011,N/A,N/A
MYBDF0900259,0.00,DF090025,OWC 0% 20.08.2010 SN,OWC,IBONDS,20/02/2009,20/08/2010,N/A,N/A
MYBDF0900267,0.00,DF090026,OWC 0% 21.02.2011 SN,OWC,IBONDS,20/02/2009,21/02/2011,N/A,N/A
MYBDF0900374,0.00,DF090037,OWC 0% 20.08.2010 SN,OWC,IBONDS,20/02/2009,20/08/2010,N/A,N/A
MYBDF0900382,0.00,DF090038,OWC 0% 21.02.2011 SN,OWC,IBONDS,20/02/2009,21/02/2011,N/A,N/A
MYBDF0900614,0.00,DF090061,PLSA 0% 29.10.2010 SN,PLSA,IBONDS,30/04/2009,29/10/2010,N/A,N/A
MYBDF0900622,0.00,DF090062,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,30/04/2009,29/04/2011,N/A,N/A
MYBDF0900911,0.00,DF090091,PLSA 0% 29.10.2010 SN,PLSA,IBONDS,30/04/2009,29/10/2010,N/A,N/A
MYBDF0900929,0.00,DF090092,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,30/04/2009,29/04/2011,N/A,N/A
MYBDF0901208,0.00,DF090120,PLSA 0% 29.10.2010 SN,PLSA,IBONDS,30/04/2009,29/10/2010,N/A,N/A
MYBDF0901216,0.00,DF090121,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,30/04/2009,29/04/2011,N/A,N/A
MYBDF0902057,0.00,DF090205,PLSA 0% 29.04.2011 SN,PLSA,IBONDS,30/10/2009,29/04/2011,N/A,N/A
