ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBDH0522851,0.00,DH052285,SDEB 0% 09.06.2009 SN,SDEB,IBONDS,09/12/2005,09/06/2009,N/A,N/A
MYBDH0523172,0.00,DH052317,SDEB 0% 09.12.2008 SN,SDEB,IBONDS,09/12/2005,09/12/2008,N/A,N/A
MYBDH0523180,0.00,DH052318,SDEB 0% 09.06.2009 SN,SDEB,IBONDS,09/12/2005,09/06/2009,N/A,N/A
MYBDH0523495,0.00,DH052349,SDEB 0% 09.12.2008 SN,SDEB,IBONDS,09/12/2005,09/12/2008,N/A,N/A
MYBDH0523503,0.00,DH052350,SDEB 0% 09.06.2009 SN,SDEB,IBONDS,09/12/2005,09/06/2009,N/A,N/A
MYBDH0523800,0.00,DH052380,SDEB 0% 09.12.2008 SN,SDEB,IBONDS,09/12/2005,09/12/2008,N/A,N/A
MYBDH0523818,0.00,DH052381,SDEB 0% 09.06.2009 SN,SDEB,IBONDS,09/12/2005,09/06/2009,N/A,N/A
MYBDH0524170,0.00,DH052417,SDEB 0% 09.12.2008 SN,SDEB,IBONDS,09/12/2005,09/12/2008,N/A,N/A
MYBDH0524188,0.00,DH052418,SDEB 0% 09.06.2009 SN,SDEB,IBONDS,09/12/2005,09/06/2009,N/A,N/A
MYBDH0528742,0.00,DH052874,SPRINT 0% 29.06.2009 SN,SPRINT,IBONDS,29/12/2005,29/06/2009,N/A,N/A
MYBDH0528759,0.00,DH052875,SPRINT 0% 29.12.2009 SN,SPRINT,IBONDS,29/12/2005,29/12/2009,N/A,N/A
MYBDH0605821,0.00,DH060582,ZECON TOLL 0% 14.01.2010 SN,ZECON TOLL,IBONDS,14/07/2006,14/01/2010,N/A,N/A
MYBDH0605839,0.00,DH060583,ZECON TOLL 0% 14.07.2010 SN,ZECON TOLL,IBONDS,14/07/2006,14/07/2010,N/A,N/A
MYBDH0800075,0.00,DH080007,MANFAAT 0% 25.07.2011 SN,MANFAAT,IBONDS,25/01/2008,25/07/2011,N/A,N/A
